company,job_description,company_rating,location,salary_avg_estimate,educational_level,years_of_experience,skills_req,job_title
Expedia Group,"Data Scientist III, Analytics",4.1,"Gurgaon, Gurugram, Haryana",480000,Bachelors,1.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Barclays,Lead Data Scientist,4.1,"Pune, Maharashtra",1320000,Bachelors,9.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Risk Edge Solutions,Junior Data Scientist,4.1,"Hyderabad, Telangana",600000,Diploma,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
KMK Consulting,"Associate Trainee, Data Analytics",4.1,"Vadodara, Gujarat",420000,Other,2.5,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Markytics,Data Science & ML Engineer,4.1,"Andheri West, Mumbai, Maharashtra",660000,Bachelors,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
ExxonMobil,Computational & Data Scientist,4.1,"Bengaluru, Karnataka",1560000,PhD,7.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Tata Elxsi,Data Analytics / Machine Learning Engineers,4.1,"Bengaluru, Karnataka",660000,Bachelors,2.5,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Skillventory,Data Scientist - Growth Cross Cell For Leading NBFC,4.1,"Bengaluru, Karnataka",480000,Bachelors,1.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Testbook.com,TA- Data Science- Freelancer,4.1,"Navi Mumbai, Maharashtra",660000,Bachelors,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
thyssenkrupp India Pvt. Ltd.,Data Scientist Jr. & Sr.,4.1,"Pune, Maharashtra",660000,Bachelors,2.5,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Credit Suisse,"Sen. Data Scientist, AVP",4.1,"Pune, Maharashtra",840000,Bachelors,5.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Linnkya Technologies Private Limited,Data Science Trainer,4.1,"Mysore, Karnataka",840000,Bachelors,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Technoledge India,Data Science Expert,4.1,"Noida, Uttar Pradesh",840000,Bachelors,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Innoplexus,Associate Data Scientist,4.1,"Pune, Maharashtra",480000,Bachelors,1.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Testbook.com,Freelance- CS- Data Science,4.1,"Navi Mumbai, Maharashtra",840000,Bachelors,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
PAGO Analytics,Data Scientist,4.1,"Hyderabad, Telangana",1320000,Masters,7.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
E2E Infoware Management Services,Data Scientist,4.1,"Bengaluru, Karnataka",840000,Bachelors,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Bosch Group,Data Science Solution Expert (AI/ML),4.1,"Bengaluru, Karnataka",1800000,PhD,9.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Stellapps Technologies,Risk Analyst and Data Scientist,4.1,"Gate, Gujarat",480000,Bachelors,1.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
TIAA,Analyst - Data Analytics,4.1,"Mumbai, Maharashtra",1320000,Masters,7.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Financial Fabric,Data science Developer,4.1,"Kolkata, West Bengal",480000,Bachelors,1.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Bosch Group,Sr. Data Scientist,4.1,"Bengaluru, Karnataka",840000,Bachelors,5.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Google,"Data Scientist, Business and Marketing",4.1,"Bengaluru, Karnataka",660000,Bachelors,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Inference Labs,Data Scientist,4.1,"Bengaluru, Karnataka",360000,Diploma,1.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Unilever,Manager - Talent Attraction & EDI (Data & Analytics),4.1,"Bengaluru, Karnataka",1080000,Masters,5.0,"SQL, Python, Database Management, Web Development, Data Analysis",Other
Kotak Securities,Manager - Data Science & Analytics,4.1,India,720000,Masters,1.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Kanini Software Solutions,Data Scientist,4.1,"Chennai, Tamil Nadu",840000,Bachelors,5.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
SaveLife Foundation,Associate Data Scientist,4.1,"Delhi, Delhi",1320000,Masters,7.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Netxcell,Data Scientist,4.1,"Vijayawada, Andhra Pradesh",480000,Bachelors,1.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Capgemini,Data Scientist | 6 to 10 years | Mumbai,4.1,"Mumbai, Maharashtra",1800000,PhD,9.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Financial Software & Systems (FSS),Data Scientist,4.1,"Bengaluru, Karnataka",840000,Bachelors,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
"JPMorgan Chase Bank, N.A.","Data Science & Strategic Analytics - SQL,SAS & Python",4.1,"Bengaluru, Karnataka",1080000,Masters,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
L&D Edutech,Data Science with Python and Machine learning trainer,4.1,"Mumbai, Maharashtra",480000,Bachelors,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Digicrome Academy,Data Science Trainer,4.1,"Noida, Uttar Pradesh",1320000,Masters,7.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
GenieTalk,Data Scientist,4.1,"Indore, Madhya Pradesh",1800000,PhD,9.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Blackbuck,Data Scientist,4.1,"Bengaluru, Karnataka",660000,Bachelors,2.5,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Cleantech Energy Corporation Pte Ltd,O&M Data Analytics Engineer (India),4.1,India,360000,Diploma,1.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Clarivate,Senior Data Scientist,4.1,"Gurgaon, Haryana",660000,Bachelors,2.5,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Hookfish,Data Scientist,4.1,"Mumbai, Maharashtra",480000,Bachelors,1.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Singular Intelligence,Lead Data Scientist,4.1,"Bengaluru, Karnataka",660000,Bachelors,2.5,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Standard Chartered,"Manager, Data Scientist, DMP",4.1,"Bengaluru, Karnataka",480000,Bachelors,1.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Recruitment Smart,Data Scientist,4.1,"Ahmedabad, Gujarat",480000,Bachelors,1.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Amrita University,Head of the Department – Mathematics & Data Science,4.1,"Amravati, Maharashtra",660000,Bachelors,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Data Axle,Data Scientist,4.1,"Pune, Maharashtra",1800000,PhD,9.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Analyttica,Chief Data Scientist,4.1,"Bengaluru, Karnataka",660000,Bachelors,2.5,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
iTDAY India,Data Scientist & Analyst,4.1,"Bengaluru, Karnataka",480000,Bachelors,1.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Aisera,Data Scientist,4.1,"Bengaluru, Karnataka",660000,Bachelors,2.5,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Hogarth Worldwide,Data Scientist,4.1,"Chennai, Tamil Nadu",1080000,Masters,5.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Mercedes-Benz Research and Development India Private Limited,Computer Vision Research/ Platform Engineer - Machine Learning,4.1,"Bengaluru, Karnataka",360000,Diploma,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Empiric Infosys,Machine Learning Engineer,4.1,"Surat, Gujarat",360000,Diploma,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Siemens,Engineering Services Engineer - Machine Learning,4.1,"Pune, Maharashtra",840000,Bachelors,5.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Tookitaki Holding PTE LTD,Machine Learning Engineer,4.1,India,1320000,Masters,7.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Finarkein Analytics Pvt. Ltd.,Machine Learning Engineer,4.1,"Pune, Maharashtra",840000,Bachelors,5.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
PayPal,Machine Learning Engineer 3,4.1,"Bengaluru, Karnataka",1080000,Masters,5.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Mercedes-Benz Research and Development India Private Limited,Computer Vision Research Engineer - Machine Learning,4.1,"Bengaluru, Karnataka",480000,Bachelors,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
High Technologies Solutions,Machine Learning Engineer,4.1,"Kalkaji Devi, Delhi",840000,Bachelors,5.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Taiyo.Ai,Machine Learning Engineer - NLP,4.1,Remote,480000,Bachelors,1.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
INTEGRATED SERVICES,Machine Learning Engineer,4.1,"Bengaluru, Karnataka",360000,Diploma,1.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Automate Engineering,Machine Learning Engineer,4.1,"Pune, Maharashtra",360000,Diploma,1.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Max Secure Software,"Software Engineer, AI/Machine Learning",4.1,"Pune, Maharashtra",360000,Diploma,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
TechieYan Technologies,Machine Learning Engineer,4.1,"Hyderabad, Telangana",480000,Bachelors,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Techstalwarts Software Development LLP,Machine Learning Engineer,4.1,"Vikroli, Mumbai, Maharashtra",360000,Diploma,1.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Larsen & Toubro Limited,AI-ML Engineer,4.1,"Vadodara, Gujarat",480000,Bachelors,1.0,"AI Development, Python, Reinforcement Learning, Computer Vision, Deep Learning",AI Engineer
Samyak Infotech,Machine Learning Engineer,4.1,"Ahmedabad, Gujarat",660000,Bachelors,2.5,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
SmartInternz,Machine Learning Engineer Intern,4.1,"Hyderabad, Telangana",660000,Bachelors,2.5,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Digispoc Technology Pvt. Ltd.,Machine Learning Engineer (2-4 years),4.1,"Chennai, Tamil Nadu",660000,Bachelors,2.5,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Acute Management Solutions,Machine Learning Engineer,4.1,"Pune, Maharashtra",1560000,PhD,7.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Railofy,Machine Learning Engineer,4.1,"Mumbai, Maharashtra",840000,Bachelors,5.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
docquity,Machine Learning Engineer,4.1,India,360000,Diploma,1.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
MonetizeMore,Machine Learning Engineer (Remote),4.1,"New Delhi, Delhi",1320000,Masters,7.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Venera Video Tech Pvt Ltd,Machine Learning Engineer,4.1,"Noida, Uttar Pradesh",1560000,PhD,7.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
JForce Solutions,Mumbai Vileparle - Machine Learning/NLP Engineer,4.1,"Mumbai, Maharashtra",1560000,PhD,7.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Apping Technology,AI/ML Engineer,4.1,"Ahmedabad, Gujarat",480000,Bachelors,1.0,"Natural Language Processing, Python, Scikit-Learn, Data Analysis, Feature Engineering",AI Engineer
Mercedes-Benz Research and Development India Private Limited,Machine Learning Engineer,4.1,"Bengaluru, Karnataka",1080000,Masters,5.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Radome Technologies and services pvt ltd,Machine Learning Engineer,4.1,"Bengaluru, Karnataka",660000,Bachelors,2.5,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
UBS,WorkFusion Machine Learning Engineer,4.1,"Pune, Maharashtra",660000,Bachelors,2.5,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
HTL COMPANY INDIA PRIVATE LIMITED,Sr. Software Engineer - AI /Machine Learning,4.1,"Bengaluru, Karnataka",840000,Bachelors,5.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Level AI,"Machine Learning Engineer - NLP (Remote, India)",4.1,India,660000,Bachelors,2.5,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Brainwired,Machine Learning Engineer,4.1,"Kochi, Kerala",660000,Bachelors,2.5,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Anblicks,Machine learning Engineer,4.1,"Hyderabad, Telangana",840000,Bachelors,5.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Copperpod Digital,ML Engineer,4.1,India,840000,Bachelors,5.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
IDfy,Machine Learning Engineer,4.1,"Mumbai, Maharashtra",840000,Bachelors,5.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
TAC Security,Machine Learning Engineer,4.1,"Bengaluru, Karnataka",840000,Bachelors,5.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
indiagold,Machine learning Engineer,4.1,"Gurgaon, Haryana",480000,Bachelors,1.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Tekolutions.ai,Machine Learning Engineer,4.1,"Mumbai, Maharashtra",840000,Bachelors,5.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
CogniveAI Innovations,Machine Learning Engineer,4.1,"Chennai, Tamil Nadu",660000,Bachelors,2.5,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Radware,Machine Learning Engineer,4.1,"Bengaluru, Karnataka",1080000,Masters,5.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Siemens,Machine Learning Engineer - Timeseries,4.1,"Bengaluru, Karnataka",360000,Diploma,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Level AI,Machine Learning Engineer (Speech),4.1,India,1800000,PhD,9.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Visa,"Staff Machine Learning Engineer ,AI as Services",4.1,"Bengaluru, Karnataka",360000,Diploma,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Truedge Software Solutions,"Software Engineer Python, Machine Learning/AI",4.1,"Hyderabad, Telangana",360000,Diploma,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Mindstix,Machine Learning Engineer,4.1,"Pune, Maharashtra",480000,Bachelors,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Corteva Agriscience,Machine Learning Operations Engineer,4.1,"Hyderabad, Telangana",660000,Bachelors,2.5,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Nonstop Corporation,Machine Learning Engineer,4.1,"Nagpur, Maharashtra",840000,Bachelors,5.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
AssetOne,AI/Machine Learning Engineer,4.1,"Pune, Maharashtra",660000,Bachelors,2.5,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
JForce Solutions,Machine Learning Engineer,4.1,"Vile Parle, Mumbai, Maharashtra",660000,Bachelors,2.5,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Lytx,Machine Learning Engineer,4.1,India,660000,Bachelors,2.5,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Techspeed,AI/ Machine Learning Programmer,4.1,"Pune, Maharashtra",1080000,Masters,5.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Automotive Robotics,Machine Learning Engineer,4.1,"Chennai, Tamil Nadu",1320000,Masters,7.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
DeepEdge,Machine Learning Engineer,4.1,"Hyderabad, Telangana",840000,Bachelors,5.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Siemens,Battery Energy Storage System Machine Learning Engineer,4.1,"Gurgaon, Haryana",660000,Bachelors,2.5,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
ServiceNow,Staff Machine Learning Engineer,4.1,"Hyderabad, Telangana",840000,Bachelors,5.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
PwC,Machine Learning Engineer - Senior Associate,4.1,"Bengaluru, Karnataka",840000,Bachelors,5.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Marktine Technology Solutions,Machine Learning Engineer,4.1,Remote,480000,Bachelors,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
NSEIT,Machine Learning Engineer,4.1,"Mumbai, Maharashtra",360000,Diploma,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Cashify,Software Engineer - Machine Learning,4.1,"Gurgaon, Haryana",480000,Bachelors,1.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
IceCream Labs,Machine Learning Engineer I ( 5 - 10 yrs exp),4.1,"Bengaluru, Karnataka",1320000,Masters,7.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Ideapoke,Machine Learning Engineer,4.1,"Bengaluru, Karnataka",360000,Diploma,1.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Mysuru Consulting Group,Machine Learning Engineer / Sr. ML Engineer ,4.1,Remote,900000,Masters,2.5,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
SatSure Analytics India,Machine Learning Engineer,4.1,"Bengaluru, Karnataka",1320000,Masters,7.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Hubino,"Machine Learning Engineer, Image Processing",4.1,"Chennai, Tamil Nadu",480000,Bachelors,1.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Avaloq,Machine Learning Software Engineer,4.1,"Pune, Maharashtra",360000,Diploma,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Pratiti Technologies,Machine Learning Engineer,4.1,"Pune, Maharashtra",480000,Bachelors,1.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Anantadrishti Technologies,Machine Learning Engineer,4.1,"Lucknow, Uttar Pradesh",840000,Bachelors,5.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Badatya Private Limited,Part time Machine learning Trainer,4.1,"Delhi, Delhi",480000,Bachelors,1.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Axiado,Machine Learning Engineer,4.1,"Hyderabad, Telangana",660000,Bachelors,2.5,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Ceremorphic,Machine Learning Algorithm Engineer,4.1,"Hyderabad, Telangana",480000,Bachelors,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
OptiSol Business Solutions Pvt Ltd,Machine Learning Engineer,4.1,"Coimbatore, Tamil Nadu",480000,Bachelors,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
DentalDost,Machine Learning Engineer,4.1,"Pune, Maharashtra",360000,Diploma,1.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
YellMon Labs,Machine Learning Engineer,4.1,"Bhubaneshwar, Orissa",1800000,PhD,9.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
OptiSol,Machine Learning Engineer,4.1,"Chennai, Tamil Nadu",660000,Bachelors,2.5,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Thena,Machine Learning Engineer,4.1,"Bengaluru, Karnataka",480000,Bachelors,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
KnowBe4,"Snr. Machine Learning Engineer (Position located in Bengaluru, India)",4.1,"Bengaluru, Karnataka",840000,Bachelors,5.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Inavan India Technologies,Machine Learning Engineers,4.1,"Kochi, Kerala",360000,Diploma,1.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Careervira,Machine Learning Engineer,4.1,"Gurgaon, Haryana",480000,Bachelors,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Adobe,Machine Learning Engineer,4.1,"Noida, Uttar Pradesh",660000,Bachelors,2.5,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Shri Vile Parle Kelavani Mandal,Engineer - Machine Learning,4.1,"Mumbai, Maharashtra",480000,Bachelors,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Persistent Systems,Machine Learning (AI) Architect,4.1,India,840000,Bachelors,5.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Pattern,Machine Learning Data Engineer,4.1,"Baner, Pune, Maharashtra",660000,Bachelors,2.5,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Ankercloud,Machine Learning Engineer,4.1,"Bengaluru, Karnataka",660000,Bachelors,2.5,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
3loq,Machine learning engineer,4.1,"Hyderabad, Telangana",480000,Bachelors,1.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Bain & Company,"Expert Senior Manager, Machine Learning Engineer, APAC",4.1,"Gurgaon, Haryana",660000,Bachelors,2.5,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Openspace Services,Jr. ML Engineer,4.1,"Mumbai, Maharashtra",600000,Diploma,5.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
Technomile,"Software Engineer, Machine Learning and Artificial intelligence Engineer",4.1,"Nagpur, Maharashtra",360000,Diploma,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Eclat Engineering Pvt. Ltd.,Sr. Python Developer ( Machine Learning),4.1,"Ahmedabad, Gujarat",720000,Masters,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Vitrana,Machine Learning Engineer,4.1,"Bengaluru, Karnataka",1320000,Masters,7.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Credit Saison,Machine Learning/Senior Machine Learning Engineer ( Jan 2023),4.1,"Bengaluru, Karnataka",480000,Bachelors,1.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Uber,Staff/Sr Software Engineer - Machine Learning,4.1,"Hyderabad, Telangana",720000,Masters,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Siena AI,Senior Machine Learning Engineer,4.1,Karnataka,900000,Masters,2.5,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
Light Link Solutions,Python / Machine Learning Engineer,4.1,Gujarat,480000,Bachelors,1.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Infoobjects,Machine Learning – Artificial Intelligence,4.1,"Jaipur, Rajasthan",1800000,PhD,9.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Genesys,AI/Machine Learning Engineer,4.1,"Hyderabad, Telangana",480000,Bachelors,1.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Technology Next,Machine Learning OPS Engineer,4.1,"Hyderabad, Telangana",1080000,Masters,5.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
FedEx Express MEISA,Machine Learning Engineer,4.1,"Mumbai, Maharashtra",1320000,Masters,7.0,"Machine Learning, Python, Scikit-Learn, Data Engineering, Deep Learning",ML Engineer
BlackSwan Technologies.,Senior Machine Learning Engineer - India,4.1,India,840000,Bachelors,5.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
TerraEagle,ML Engineer,4.1,"Bengaluru, Karnataka",1080000,Masters,5.0,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
Facctum Solutions,AI-ML Engineer,4.1,"Bengaluru, Karnataka",360000,Diploma,1.0,"Artificial Intelligence, Python, Machine Learning, Neural Networks, Deep Learning, TensorFlow",AI Engineer
OakNorth Bank,Machine Learning Engineer,4.1,"Hyderabad, Telangana",660000,Bachelors,2.5,"Machine Learning, Python, Data Science, Deep Learning, Computer Vision",ML Engineer
VIDA Digital Identity,Machine Learning Infrastructure Engineer,4.1,"Bengaluru, Karnataka",1080000,Masters,5.0,"Machine Learning, Python, Neural Networks, NLP, TensorFlow",ML Engineer
Falabella,ML Engineer,4.1,"Bengaluru, Karnataka",1560000,PhD,7.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
TeamPlus Staffing Solution Pvt Ltd,Data Engineer- Machine Learning – Remote,4.1,Remote,840000,Bachelors,5.0,"Machine Learning, Python, TensorFlow, PyTorch, Model Deployment, Deep Learning",ML Engineer
